MEASURE_STATION;DATE;YEAR;MONTH;DAY;NOx;NO2;SO2;NO;PM10;MAGNITUDE_42;MAGNITUDE_30;MAGNITUDE_43;MAGNITUDE_20;MAGNITUDE_35;MAGNITUDE_44;MAGNITUDE_14;MAGNITUDE_9;MAGNITUDE_6
4;2014-01-01;2014;1;1;45.0;30.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-02;2014;1;2;75.0;36.0;4.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-03;2014;1;3;81.0;37.0;4.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-04;2014;1;4;39.0;23.0;4.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2014-01-05;2014;1;5;60.0;32.0;4.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-06;2014;1;6;69.0;45.0;4.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-07;2014;1;7;118.0;54.0;6.0;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-08;2014;1;8;297.0;67.0;12.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9
4;2014-01-09;2014;1;9;341.0;78.0;13.0;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;2014-01-10;2014;1;10;394.0;89.0;14.0;199.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1
4;2014-01-11;2014;1;11;224.0;60.0;9.0;107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
4;2014-01-12;2014;1;12;194.0;50.0;8.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
4;2014-01-13;2014;1;13;65.0;42.0;6.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-14;2014;1;14;44.0;29.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-15;2014;1;15;75.0;40.0;5.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-16;2014;1;16;51.0;33.0;4.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-17;2014;1;17;83.0;47.0;4.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-18;2014;1;18;54.0;37.0;4.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-19;2014;1;19;50.0;36.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-20;2014;1;20;63.0;42.0;5.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-21;2014;1;21;129.0;48.0;6.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-22;2014;1;22;79.0;46.0;6.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-23;2014;1;23;192.0;70.0;8.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2014-01-24;2014;1;24;177.0;54.0;9.0;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2014-01-25;2014;1;25;100.0;39.0;7.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2014-01-26;2014;1;26;163.0;35.0;8.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2014-01-27;2014;1;27;29.0;21.0;5.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-28;2014;1;28;45.0;29.0;4.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2014-01-29;2014;1;29;53.0;37.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
