MEASURE_STATION;DATE;YEAR;MONTH;DAY;NOx;NO2;SO2;NO;PM10;MAGNITUDE_42;MAGNITUDE_30;MAGNITUDE_43;MAGNITUDE_20;MAGNITUDE_35;MAGNITUDE_44;MAGNITUDE_14;MAGNITUDE_9;MAGNITUDE_6
4;2010-01-01;2010;1;1;18.0;12.0;12.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2010-01-02;2010;1;2;70.0;40.0;15.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2010-01-03;2010;1;3;129.0;51.0;17.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2010-01-04;2010;1;4;113.0;53.0;16.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2010-01-05;2010;1;5;84.0;46.0;16.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2010-01-06;2010;1;6;38.0;30.0;15.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2010-01-07;2010;1;7;49.0;31.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2010-01-08;2010;1;8;52.0;30.0;15.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2010-01-09;2010;1;9;41.0;26.0;15.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2010-01-10;2010;1;10;83.0;47.0;16.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2010-01-11;2010;1;11;120.0;60.0;15.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2010-01-12;2010;1;12;172.0;61.0;16.0;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2010-01-13;2010;1;13;153.0;58.0;14.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2010-01-14;2010;1;14;49.0;26.0;16.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2010-01-15;2010;1;15;201.0;70.0;20.0;85.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2010-01-16;2010;1;16;129.0;52.0;17.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
