MEASURE_STATION;DATE;YEAR;MONTH;DAY;NOx;NO2;SO2;NO;PM10;MAGNITUDE_42;MAGNITUDE_30;MAGNITUDE_43;MAGNITUDE_20;MAGNITUDE_35;MAGNITUDE_44;MAGNITUDE_14;MAGNITUDE_9;MAGNITUDE_6
4;2015-01-01;2015;1;1;314.0;76.0;15.0;155.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-02;2015;1;2;448.0;89.0;19.0;235.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;2015-01-03;2015;1;3;384.0;80.0;17.0;198.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9
4;2015-01-04;2015;1;4;494.0;97.0;21.0;259.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3
4;2015-01-05;2015;1;5;390.0;78.0;16.0;203.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9
4;2015-01-06;2015;1;6;281.0;64.0;14.0;141.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-07;2015;1;7;368.0;78.0;16.0;189.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;2015-01-08;2015;1;8;384.0;82.0;18.0;197.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;2015-01-09;2015;1;9;510.0;95.0;20.0;271.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3
4;2015-01-10;2015;1;10;322.0;71.0;14.0;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-11;2015;1;11;283.0;63.0;15.0;143.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-12;2015;1;12;310.0;64.0;14.0;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-13;2015;1;13;221.0;58.0;12.0;106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2015-01-14;2015;1;14;248.0;60.0;11.0;122.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
4;2015-01-15;2015;1;15;110.0;53.0;8.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-16;2015;1;16;70.0;41.0;7.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-01-17;2015;1;17;105.0;49.0;8.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-18;2015;1;18;83.0;43.0;6.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-19;2015;1;19;74.0;43.0;7.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-01-20;2015;1;20;163.0;62.0;9.0;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-01-21;2015;1;21;111.0;52.0;8.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-22;2015;1;22;91.0;44.0;10.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-23;2015;1;23;287.0;70.0;13.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-24;2015;1;24;174.0;62.0;12.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-01-25;2015;1;25;127.0;57.0;10.0;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-26;2015;1;26;315.0;87.0;15.0;149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-27;2015;1;27;237.0;63.0;13.0;113.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2015-01-28;2015;1;28;308.0;69.0;14.0;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
4;2015-01-29;2015;1;29;138.0;46.0;10.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-01-30;2015;1;30;39.0;20.0;6.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-01-31;2015;1;31;36.0;21.0;7.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-01;2015;2;1;27.0;18.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-02;2015;2;2;57.0;35.0;6.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-03;2015;2;3;50.0;35.0;6.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-04;2015;2;4;66.0;44.0;6.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-05;2015;2;5;56.0;38.0;7.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-06;2015;2;6;99.0;53.0;7.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-07;2015;2;7;158.0;52.0;8.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-02-08;2015;2;8;106.0;50.0;8.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-09;2015;2;9;80.0;49.0;7.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-10;2015;2;10;99.0;63.0;7.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-11;2015;2;11;111.0;65.0;7.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-12;2015;2;12;164.0;66.0;8.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-02-13;2015;2;13;156.0;49.0;8.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-02-14;2015;2;14;45.0;32.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-15;2015;2;15;45.0;33.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-16;2015;2;16;74.0;44.0;6.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-17;2015;2;17;37.0;25.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-18;2015;2;18;51.0;35.0;7.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-19;2015;2;19;177.0;66.0;8.0;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-02-20;2015;2;20;161.0;65.0;8.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-02-21;2015;2;21;73.0;49.0;6.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-22;2015;2;22;83.0;52.0;6.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-23;2015;2;23;58.0;32.0;6.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-02-24;2015;2;24;50.0;31.0;8.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-25;2015;2;25;57.0;36.0;8.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-02-26;2015;2;26;85.0;50.0;9.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-27;2015;2;27;88.0;51.0;8.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-02-28;2015;2;28;141.0;58.0;10.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;;2015;2;29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;;2015;2;30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;;2015;2;31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;2015-03-01;2015;3;1;48.0;30.0;7.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-03-02;2015;3;2;54.0;33.0;6.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
4;2015-03-03;2015;3;3;136.0;46.0;7.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-03-04;2015;3;4;159.0;47.0;8.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-03-05;2015;3;5;95.0;56.0;7.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
4;2015-03-06;2015;3;6;192.0;73.0;9.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-03-07;2015;3;7;259.0;82.0;11.0;115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2015-03-08;2015;3;8;167.0;61.0;9.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
4;2015-03-09;2015;3;9;199.0;75.0;9.0;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
4;2015-03-10;2015;3;10;225.0;79.0;10.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
4;2015-03-11;2015;3;11;239.0;83.0;11.0;102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
4;2015-03-12;2015;3;12;193.0;77.0;9.0;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
